INC_INDEX,HHINC1,HHINC2,HHINC3,HHINC4
0.2,0.561178864,0.390350082,0.043745048,0.004726006
0.3,0.49147362,0.407805312,0.09233537,0.008385699
0.4,0.383795082,0.360911252,0.131228512,0.124065153
0.5,0.299786458,0.310648231,0.159239158,0.230326153
0.6,0.237450407,0.266362838,0.176727788,0.319458967
0.7,0.191684322,0.229937159,0.185669084,0.392709435
0.8,0.157828192,0.200647451,0.188010276,0.45351408
0.9,0.132400102,0.177169407,0.185281914,0.505148576
1,0.112960161,0.158245083,0.178618255,0.5501765
1.1,0.09782718,0.14284672,0.168862444,0.590463656
1.2,0.085839274,0.130177162,0.156664381,0.627319184
1.3,0.076183965,0.119628277,0.142554582,0.661633176
1.4,0.068284226,0.110736554,0.126996765,0.693982456
1.5,0.061723287,0.103146302,0.110424778,0.724705634
1.6,0.05619499,0.096581671,0.093268389,0.75395495
1.7,0.051470752,0.090826109,0.075970771,0.781732368
1.8,0.04737733,0.085707542,0.058999241,0.807915887
1.9,0.0437817,0.081087771,0.042849856,0.832280673
2,0.040580649,0.07685497,0.02804594,0.854518441
