NO,AADT
177,1468
179,1162
218,1167
219,1209
224,1171
299,1411
396,1188
510,187
573,2921
716,807
756,478
786,391
808,113
973,382
981,1713
1007,371
1053,1466
1149,411
1187,1344
1215,1335
1294,2613
1378,371
1430,250
1501,1116
1536,154
1769,1463
1790,34
1823,404
1836,497
1847,1795
1874,136
1878,85
1991,932
2083,829
2143,179
2228,194
2559,145
2638,2321
2733,777
2763,274
2770,447
2783,581
2823,538
2896,197
2923,330
2968,1809
2970,1506
3025,1628
3042,789
3246,821
3253,1073
3254,1515
3294,895
3297,550
3304,1257
3309,1025
3405,373
3425,542
3890,1693
4017,2968
4019,2870
4041,2327
4043,1928
6296,41
6351,521
9509,136
9521,28
9522,86
9523,113
9604,205
9620,607
9621,459
10099,155
12718,218
12943,82
13059,158
13610,411
13956,3205
14004,3343
14256,1804
14494,1674
14699,87
14702,210
14923,336
15000,1137
15022,1162
15031,1288
15185,1033
15195,372
15437,393
15439,473
15456,268
15571,492
15587,1596
15616,3238
15617,3238
15621,618
15650,472
15651,382
15652,272
15728,228
15846,913
15867,223
15868,126
15869,310
15872,111
15876,126
15878,174
15880,294
15881,450
15906,1981
15912,2696
16100,853
16131,411
16173,88
16181,727
16184,1075
17016,334
17019,786
17070,211
17081,461
17085,328
17089,120
17110,154
17117,721
17168,121
17285,54
17357,419
17371,346
17393,769
17409,162
17494,217
17501,93
17599,536
17765,421
17813,409
17933,796
17958,1568
18295,59
18396,472
18581,1943
18630,419
18636,144
20096,705
20098,854
20100,739
20102,476
20186,2104
20246,619
20249,1344
20333,460
20338,629
20346,611
20455,148
20458,1307
20460,280
20472,763
20483,181
20487,511
20488,126
20490,475
20492,142
20494,333
20496,402
20498,125
20506,185
20509,240
20510,210
20513,184
20514,344
20517,154
20523,471
20527,147
20529,572
20531,267
20533,610
20598,2452
20605,1033
20608,671
20611,496
20619,416
20620,276
20625,184
20869,235
20870,606
20887,1127
20911,1407
20997,339
21037,215
21046,105
21056,218
21075,364
21077,723
21102,823
21129,602
21151,1995
21182,3277
21184,2470
21186,2626
21189,2498
21190,1718
21197,200
21199,367
21200,213
21202,267
21204,945
21207,358
21209,77
21210,60
21213,221
21214,484
21216,249
21218,347
21220,233
21222,31
21225,50
21227,139
21229,158
21231,229
21233,93
21238,116
21241,43
21242,78
21245,457
21247,171
21249,66
21251,445
21253,58
21254,709
21256,1282
21259,953
21261,929
21264,912
21269,411
21271,132
21347,128
21349,457
21360,507
21364,1093
21365,832
